Класс,Код_предмета,ЛогинОО,Код_ученика,Балл,Отметка,Year
4,2,sch01110001,4001,11,4,2019
4,2,sch01110001,4002,18,5,2019
4,2,sch01110001,4003,9,3,2019
4,2,sch01110001,4004,11,4,2019
4,2,sch01110001,4005,8,3,2019
4,2,sch01110001,4006,14,4,2019
4,2,sch01110001,4007,13,4,2019
4,2,sch01110001,4008,8,3,2019
4,2,sch01110001,4009,13,4,2019
4,2,sch01110001,4010,7,3,2019
4,2,sch01110001,4012,15,5,2019
4,2,sch01110001,4013,12,4,2019
4,2,sch01110001,4014,10,4,2019
4,2,sch01110001,4015,7,3,2019
4,2,sch01110001,4016,6,3,2019
4,2,sch01110001,4017,12,4,2019
4,2,sch01110001,4018,10,4,2019
4,2,sch01110001,4019,6,3,2019
4,2,sch01110001,4020,16,5,2019
4,2,sch01110001,4021,13,4,2019
4,2,sch01110001,4022,16,5,2019
4,2,sch01110001,4023,7,3,2019
4,2,sch01110001,4024,19,5,2019
4,2,sch01110001,4025,8,3,2019
4,2,sch01110001,4026,17,5,2019
4,2,sch01110001,4027,13,4,2019
4,2,sch01110001,4028,12,4,2019
4,2,sch01110001,4029,15,5,2019
4,2,sch01110001,4030,8,3,2019
4,2,sch01110001,4031,15,5,2019
4,2,sch01110001,4032,14,4,2019
4,2,sch01110001,4033,10,4,2019
4,2,sch01110001,4034,12,4,2019
4,2,sch01110001,4035,19,5,2019
4,2,sch01110001,4036,4,2,2019
4,2,sch01110001,4037,15,5,2019
4,2,sch01110001,4038,11,4,2019
4,2,sch01110001,4039,7,3,2019
4,2,sch01110001,4040,10,4,2019
4,2,sch01110001,4041,16,5,2019
4,2,sch01110001,4042,11,4,2019
4,2,sch01110001,4043,11,4,2019
4,2,sch01110001,4044,5,2,2019
4,2,sch01110001,4045,14,4,2019
4,2,sch01110001,4046,11,4,2019
4,2,sch01110001,4047,10,4,2019
4,2,sch01110001,4048,14,4,2019
4,2,sch01110001,4049,16,5,2019
4,2,sch01110001,4050,12,4,2019
4,2,sch01110001,4051,14,4,2019
4,2,sch01110001,4052,17,5,2019
4,2,sch01110001,4055,10,4,2019
4,2,sch01110001,4056,7,3,2019
4,2,sch01110001,4057,8,3,2019
4,2,sch01110001,4058,19,5,2019
4,2,sch01110001,4060,9,3,2019
4,2,sch01110001,4061,16,5,2019
4,2,sch01110001,4062,17,5,2019
4,2,sch01110001,4063,7,3,2019
4,2,sch01110001,4064,7,3,2019
4,2,sch01110001,4065,10,4,2019
4,2,sch01110001,4066,11,4,2019
4,2,sch01110001,4067,17,5,2019
4,2,sch01110001,4068,11,4,2019
4,2,sch01110001,4069,8,3,2019
4,2,sch01110001,4070,11,4,2019
4,2,sch01110001,4071,15,5,2019
4,2,sch01110001,4072,11,4,2019
4,2,sch01110001,4073,20,5,2019
4,2,sch01110003,4001,9,3,2019
4,2,sch01110003,4002,18,5,2019
4,2,sch01110003,4003,19,5,2019
4,2,sch01110003,4004,13,4,2019
4,2,sch01110003,4005,17,5,2019
4,2,sch01110003,4006,11,4,2019
4,2,sch01110003,4007,13,4,2019
4,2,sch01110003,4008,14,4,2019
4,2,sch01110003,4009,14,4,2019
4,2,sch01110003,4010,19,5,2019
4,2,sch01110003,4011,18,5,2019
4,2,sch01110003,4012,12,4,2019
4,2,sch01110003,4013,20,5,2019
4,2,sch01110003,4014,13,4,2019
4,2,sch01110003,4015,9,3,2019
4,2,sch01110003,4016,17,5,2019
4,2,sch01110003,4017,14,4,2019
4,2,sch01110003,4018,14,4,2019
4,2,sch01110003,4019,13,4,2019
4,2,sch01110003,4020,20,5,2019
4,2,sch01110003,4021,19,5,2019
4,2,sch01110003,4022,9,3,2019
4,2,sch01110003,4041,9,3,2019
4,2,sch01110003,4042,18,5,2019
4,2,sch01110003,4043,9,3,2019
4,2,sch01110003,4044,14,4,2019
4,2,sch01110003,4045,14,4,2019
4,2,sch01110003,4046,10,4,2019
4,2,sch01110003,4047,17,5,2019
4,2,sch01110003,4048,12,4,2019
4,2,sch01110003,4049,14,4,2019
